slug,city,state,rank,category,accept,sat_25,sat_75,act_25,grad_rate_4yr,retention,student_faculty_ratio,founded,undergrads
dyouville-university-2712,Buffalo,NY,242,National Universities,81,1002,1245,,36,76,14,1908,1258
drake-university-1860,Des Moines,IA,183,National Universities,64,1110,1350,,67,84,11,1881,2585
earlham-college-1793,Richmond,IN,76,National Liberal Arts Colleges,73,1110,1290,,65,78,7,1847,696
east-central-university-3154,Ada,OK,100,Regional Universities West,58,,,17,,59,18,1909,2644
east-stroudsburg-university-3320,East Stroudsburg,PA,136,Regional Universities North,86,1000,1180,,25,71,20,1893,4894
east-carolina-university-2923,Greenville,NC,192,National Universities,89,1050,1230,,43,82,17,1907,21445
east-texas-baptist-university-3564,Marshall,TX,81,Regional Universities West,58,930,1150,,42,67,14,1912,1634
east-tennessee-state-university-3487,Johnson City,TN,301,National Universities,86,980,1200,,40,72,18,1911,10829
eastern-kentucky-university-1963,RIchmond,KY,329,National Universities,97,930,1150,,41,77,18,1906,13448
eastern-illinois-university-1674,Charleston,IL,54,Regional Universities Midwest,65,880,1100,,31,72,14,1895,6785
eastern-connecticut-state-university-1425,Willimantic,CT,66,Regional Universities North,83,1070,1260,,46,82,15,1889,4174
eastern-university-3259,St. Davids,PA,146,Regional Universities North,91,,,,50,71,21,1952,2500
eastern-washington-university-3775,Cheney,WA,52,Regional Universities West,91,,,,30,67,20,1882,7246
eastern-new-mexico-university-2651,Portales,NM,93,Regional Universities West,92,,,17,23,61,17,1934,4072
eastern-mennonite-university-3708,Harrisonburg,VA,62,Regional Universities South,100,,,,56,77,9,1917,791
eckerd-college-1487,St. Petersburg,FL,135,National Liberal Arts Colleges,76,1160,1330,,59,78,11,1958,1893
elizabethtown-college-3262,Elizabethtown,PA,45,Regional Universities North,78,1105,1310,,69,84,13,1899,1903
edgewood-college-3848,Madison,WI,301,National Universities,76,,,,47,74,13,1927,1214
edward-waters-university-1478,Jacksonville,FL,67,Regional Colleges South,85,,,,15,56,18,1866,1113
elmhurst-university-1676,Elmhurst,IL,7,Regional Universities Midwest,74,990,1260,,57,78,15,1871,3170
elmira-college-2718,Elmira,NY,6,Regional Colleges North,77,1090,1385,,65,74,11,1855,745
elms-college-2140,Chicopee,MA,55,Regional Universities North,85,,,,60,78,11,1928,1002
elon-university-2927,Elon,NC,117,National Universities,66,1130,1280,,80,90,11,1889,6452
eastern-michigan-university-2259,Ypsilanti,MI,373,National Universities,80,920,1170,,24,68,14,1849,10470
emmanuel-college--massachusetts-2147,Boston,MA,135,National Liberal Arts Colleges,76,1170,1340,,59,81,13,1919,1909
emory--henry-university-3709,Emory,VA,27,Regional Universities South,84,,,20,45,68,14,1836,1083
emerson-college-2146,Boston,MA,19,Regional Universities North,51,1270,1420,,71,88,13,1880,3884
emmanuel-college-georgia-1563,Franklin Springs,GA,63,Regional Colleges South,74,,,,29,62,16,1919,886
embryriddle-aeronautical-universitydaytona-beach-1479,Daytona Beach,FL,4,Regional Universities South,65,1160,1380,,42,84,18,1926,7886
emporia-state-university-1927,Emporia,KS,78,Regional Universities Midwest,98,,,18,41,73,16,1863,2396
endicott-college-2148,Beverly,MA,38,Regional Universities North,71,1193,1340,,72,86,13,1939,3360
eureka-college-1678,Eureka,IL,43,Regional Colleges Midwest,85,840,1010,,31,58,15,1855,527
emory-university-1564,Atlanta,GA,24,National Universities,10,1470,1550,,81,96,8,1836,7407
erskine-college-3432,Due West,SC,50,Regional Colleges South,64,915,1177,,43,60,15,1839,803
fairleigh-dickinson-university-metropolitan-campus-8770,Teaneck,NJ,55,Regional Universities North,82,,,,48,76,12,1942,5691
fairfield-university-1385,Fairfield,CT,139,National Universities,33,1260,1390,,82,90,12,1942,5391
fairleigh-dickinson-university-florham-campus-263307,,NJ,35,Regional Universities North,84,,,,64,80,13,1942,2012
fairmont-state-3812,Fairmont,WV,85,Regional Universities South,99,860,1090,,30,64,14,1865,3088
farmingdale-state-college-suny-2858,Farmingdale,NY,7,Regional Colleges North,63,1040,1240,,42,81,18,1912,10007
felician-university-2610,Lodi,NJ,121,Regional Universities North,95,890,1150,,27,75,15,1942,1870
ferrum-college-3711,Ferrum,VA,60,Regional Colleges South,89,,,,22,58,11,1913,747
ferris-state-university-2260,Big Rapids,MI,329,National Universities,92,890,1200,,33,76,15,1884,8989
fitchburg-state-university-2184,Fitchburg,MA,72,Regional Universities North,87,1063,1228,,38,71,11,1894,3027
fiu-9635,Miami,FL,97,National Universities,55,1070,1260,,59,92,22,1972,44904
flagler-7893,St. Augustine,FL,3,Regional Colleges South,81,960,1180,,45,71,14,1968,2409
florida-atlantic-university-1481,Boca Raton,FL,183,National Universities,66,1040,1200,,50,82,24,1964,24942
florida-gulf-coast-university-32553,Fort Myers,FL,318,National Universities,63,,,20,42,82,21,1991,14227
florida-southern-college-1488,Lakeland,FL,11,Regional Universities South,64,1150,1330,,65,79,11,1885,2715
florida-institute-of-technology-1469,Melbourne,FL,232,National Universities,58,1120,1320,,48,79,9,1958,3677
fordham-university-2722,New York,NY,97,National Universities,59,1320,1480,,76,88,14,1841,10582
framingham-state-2185,Framingham,MA,110,Regional Universities North,84,1100,1280,,36,71,12,1839,2782
florida-state-university-1489,Tallahassee,FL,51,National Universities,24,1270,1410,,77,95,17,1851,32720
fort-lewis-college-1353,Durango,CO,17,Regional Colleges West,92,,,18,30,61,14,1911,3392
fort-hays-state-university-1915,Hays,KS,78,Regional Universities Midwest,90,,,18,33,75,14,1902,10206
francis-marion-9226,Florence,SC,54,Regional Universities South,86,870,1115,,24,68,13,1970,3692
franklin-pierce-university-2575,Rindge,NH,150-164,Regional Universities North,93,,,,43,73,13,1962,1058
franciscan-university-3036,Steubenville,OH,25,Regional Universities Midwest,58,,,22,68,85,19,1946,2978
franklin--marshall-college-3265,Lancaster,PA,35,National Liberal Arts Colleges,28,1310,1463,,76,89,9,1787,1808
franklin-college-1798,Franklin,IN,146,National Liberal Arts Colleges,70,1060,1240,,57,73,12,1834,931
fresno-pacific-university-1253,Fresno,CA,46,Regional Universities West,64,,,,44,75,10,1944,1615
frostburg-state-university-2072,Frostburg,MD,98,Regional Universities North,89,970,1170,,35,69,13,1898,2619
furman-university-3434,Greenville,SC,45,National Liberal Arts Colleges,43,1268,1440,,73,90,10,1826,2383
gannon-university-3266,Erie,PA,257,National Universities,74,1050,1290,,53,78,11,1925,2768
gallaudet-university-1443,Washington,DC,198,National Universities,58,780,1022,,20,75,6,1864,875
gardnerwebb-university-2929,Boiling Springs,NC,384,National Universities,77,,,19,6,65,11,1905,1840
geneva-college-3267,Beaver Falls,PA,112,Regional Universities North,80,1000,1250,,56,77,15,1848,1264
george-fox-university-3194,Newberg,OR,283,National Universities,94,1070,1340,,66,80,17,1891,3358
george-washington-university-1444,Washington,DC,59,National Universities,47,1350,1500,,76,91,13,1821,11677
george-mason-university-3749,Fairfax,VA,117,National Universities,87,1160,1360,,46,86,16,1972,28331
georgetown-university-1445,Washington,DC,24,National Universities,13,1390,1550,,87,97,11,1789,7833
georgia-college--state-university-1602,Milledgeville,GA,12,Regional Universities South,78,1070,1230,,54,81,17,1889,6006
