school_id,name,division,conference,conf_tier,2022_W,2022_L,2022_D,2023_W,2023_L,2023_D,2024_W,2024_L,2024_D,2025_W,2025_L,2025_D,2022_ps,2023_ps,2024_ps,2025_ps
old_dominion,Old Dominion,D1,Sun Belt,d1t3,9,9,3,13,3,5,10,6,4,11,3,4,appearance,appearance,,
ole_miss,Ole Miss,D1,SEC,d1t1,9,7,4,7,7,3,5,13,1,4,8,3,,,,
omaha,Omaha,D1,Summit,d1t4,7,9,6,7,5,7,10,3,5,6,9,4,appearance,,,
oral_roberts,Oral Roberts,D1,Summit,d1t4,10,9,3,8,7,4,9,8,5,13,5,2,,,,
oregon,Oregon,D1,Big Ten,d1t1,4,8,7,0,16,3,5,11,2,3,10,5,,,,
oregon_state,Oregon State,D1,Pac-12,d1t3,5,10,4,4,8,7,7,9,2,2,12,5,,,,
pacific,Pacific,D1,West Coast,d1t2,7,3,10,9,9,1,2,17,1,4,9,6,,,,
penn,Penn,D1,Ivy League,d1t3,3,6,7,6,7,3,2,8,6,5,4,6,,,,
penn_state,Penn State,D1,Big Ten,d1t1,15,5,3,16,3,4,15,7,3,10,8,3,r16,quarter,quarter,r32
pepperdine,Pepperdine,D1,West Coast,d1t2,9,4,5,9,5,5,12,4,5,11,7,2,,appearance,appearance,appearance
pittsburgh,Pittsburgh,D1,ACC,d1t1,14,5,3,17,6,1,9,6,3,6,10,2,r16,quarter,,
portland,Portland,D1,West Coast,d1t2,12,5,4,10,4,3,9,5,6,10,3,6,r32,,,
portland_state,Portland State,D1,Big Sky,d1t4,5,8,5,8,8,2,4,9,5,4,9,4,,,,
prairie_view_a_m,Prairie View A&M,D1,SWAC,d1t4,2,11,0,3,12,1,1,12,4,5,11,2,,,,
presbyterian,Presbyterian,D1,Big South,d1t3,2,12,3,3,10,3,7,6,5,3,10,3,,,,
princeton,Princeton,D1,Ivy League,d1t3,9,7,1,10,5,4,,,,8,6,3,,r32,appearance,
providence,Providence,D1,Big East,d1t2,4,9,5,10,5,5,6,9,3,6,6,4,,appearance,,
purdue,Purdue,D1,Big Ten,d1t1,3,11,3,3,13,2,7,9,2,6,10,3,,,,
purdue_fort_wayne,Purdue Fort Wayne,D1,Horizon,d1t3,9,4,6,5,7,6,9,10,1,2,15,1,,,,
queens,Queens,D1,ASUN,d1t3,3,8,5,4,7,8,5,10,4,3,11,5,,,,
quinnipiac,Quinnipiac,D1,Metro,d1t3,15,3,1,13,4,1,14,5,1,8,3,6,appearance,appearance,,
radford,Radford,D1,Big South,d1t3,12,4,4,12,6,2,9,4,5,10,5,1,appearance,appearance,,
rhode_island,Rhode Island,D1,Atlantic 10,d1t3,3,9,6,4,9,6,7,8,3,13,5,3,,,,
rice,Rice,D1,American,d1t2,11,8,1,3,13,2,12,6,2,10,4,6,,,,
richmond,Richmond,D1,Atlantic 10,d1t3,3,10,4,3,11,4,4,10,3,4,7,7,,,,
rider,Rider,D1,Metro,d1t3,8,7,3,7,9,2,4,9,4,3,8,7,,,,
robert_morris,Robert Morris,D1,Horizon,d1t3,7,7,4,12,5,3,6,7,6,4,9,4,,,,
rutgers,Rutgers,D1,Big Ten,d1t1,13,5,2,9,7,4,11,5,5,4,7,5,appearance,appearance,appearance,
siu_edwardsville,SIU Edwardsville,D1,Ohio Valley,d1t4,8,6,4,5,6,6,2,7,7,3,12,5,appearance,,,
smu,SMU,D1,ACC,d1t1,10,4,5,11,6,1,6,9,2,8,8,2,,,,
sacramento_state,Sacramento State,D1,Big West,d1t3,4,9,5,4,9,5,5,7,9,6,11,1,,,appearance,
sacred_heart,Sacred Heart,D1,Metro,d1t3,11,5,5,6,9,4,3,11,5,11,9,2,,,,appearance
saint_joseph_s,Saint Joseph's,D1,Atlantic 10,d1t3,5,8,7,4,9,6,9,4,7,5,10,3,,,,
saint_louis,Saint Louis,D1,Atlantic 10,d1t3,20,2,0,19,3,2,15,2,6,14,4,2,appearance,r16,r32,
saint_mary_s,Saint Mary's,D1,West Coast,d1t2,5,6,7,10,5,3,7,7,4,12,2,4,,,,
saint_peter_s,Saint Peter's,D1,Metro,d1t3,4,13,1,,,,4,11,2,6,9,3,,,,
sam_houston,Sam Houston,D1,CUSA,d1t3,3,11,2,6,7,4,8,7,3,8,6,3,,,,
